case_code	case_name	court_from	court_type
725 F.3d 1356	Apple Inc v International Trade Com'n	International Trade Commission	Federal Court
878 F.3d 1041	Regeneron Pharmaceuticals Inc v Merus NV	Southern District of New York	Federal District Court
857 F.3d 1323	Joseph Phelps Vineyards LLC v Fairmont Holdings LLC	Trademark Trial and Appeal Board	Federal Court
809 F.3d 1295	Commonwealth Scientific and Indus Research Organisation v Cisco Systems In	Eastern District of Texas	Federal District Court
709 F.3d 1124	Radio Systems Corp v Lalor	Western District of Washington	Federal District Court
750 F.3d 1304	GE Lighting Solutions LLC v AgiLight Inc	Northern District of Ohio	Federal District Court
843 F.3d 1363	United Construction Products Inc v Tile Tech Inc	Central District of California	Federal District Court
812 F.3d 1070	Rosebud LMS Inc v Adobe Systems Inc	District of Delaware	Federal District Court
699 F.3d 1317	Norgren Inc v International Trade Com'n	International Trade Commission	Federal Court
816 F.3d 816	UltimatePointer LLC v Nintendo Co Ltd	Western District of Washington	Federal District Court
696 F.3d 1142	In re Abbott Diabetes Care Inc	District of Delaware	Federal District Court
754 F.3d 952	Allergan Inc v Apotex Inc	Middle District of North Carolina	Federal District Court
808 F.3d 823	South Alabama Medical Science Foundation v Gnosis SPA	Patent Trial and Appeal Board	Federal Court
739 F.3d 694	Pacific Coast Marine Windshields Ltd v Malibu Boats LLC	Middle District of Florida	Federal District Court
837 F.3d 1341	Yeda Research and Development Co Ltd v Abbott GMBH And Co KG	Patent Trial and Appeal Board	Federal Court
792 F.3d 1363	Intellectual Ventures I LLC v Capital One Bank (USA)	Eastern District of Virginia	Federal District Court
776 F.3d 1351	Shenyang Yuanda Aluminum Industry Engineering Co Ltd v US	United States Court of International Trade	Federal Court
738 F.3d 1350	Allergan Inc v Athena Cosmetics Inc	Central District of California	Federal District Court
753 F.3d 1375	Triton Tech of Texas LLC v Nintendo of America Inc	Eastern District of Texas	Federal District Court
815 F.3d 816	In re Smith	Patent Trial and Appeal Board	Federal Court
877 F.3d 1330	In re Brunetti	Trademark Trial and Appeal Board	Federal Court
820 F.3d 1316	Sport Dimension Inc v Coleman Co Inc	Central District of California	Federal District Court
859 F.3d 1014	Skky Inc v MindGeek sarl	Patent Trial and Appeal Board	Federal Court
866 F.3d 1315	In re IAMSymbolic LLC	Trademark Trial and Appeal Board	Federal Court
844 F.3d 945	D'Agostino v MasterCard International Incorporated	Patent Trial and Appeal Board	Federal Court
728 F.3d 1324	Bayer CropScience AG v Dow AgroSciences LLC	District of Delaware	Federal District Court
669 F.3d 1349	Falana v Kent State University	Northern District of Ohio	Federal District Court
851 F.3d 1356	TVIIM LLC v McAfee Inc	Northern District of California	Federal District Court
672 F.3d 1270	DigitalVending Services Intern LLC v University of Phoenix Inc	Eastern District of Virginia	Federal District Court
732 F.3d 1325	Broadcom Corp v Emulex Corp	Central District of California	Federal District Court
873 F.3d 896	Corning v Fast Felt Corporation	Patent Trial and Appeal Board	Federal Court
790 F.3d 1298	Kaneka Corp v Xiamen Kingdomway Group Co	Central District of California	Federal District Court
812 F.3d 1056	Trivascular Inc v Samuels	Patent Trial and Appeal Board	Federal Court
807 F.3d 1353	Prolitec Inc v Scentair Technologies Inc	Patent Trial and Appeal Board	Federal Court
689 F.3d 1282	In re Antor Media Corp		
675 F.3d 1368	In re Becton Dickinson and Co	Trademark Trial and Appeal Board	Federal Court
781 F.3d 1356	Apotex Inc v Daiichi Sankyo Inc	Northern District of Illinois	Federal District Court
751 F.3d 1307	In re Packard	Patent Trial and Appeal Board	Federal Court
858 F.3d 1392	Wyandot Nation of Kansas v United States	United States Court of Federal Claims	Federal Court
686 F.3d 1322	In re Mouttet		
803 F.3d 1374	In re Morsa	Patent Trial and Appeal Board	Federal Court
823 F.3d 615	Diamond Coating Technologies LLC v Hyundai Motor America	Central District of California	Federal District Court
809 F.3d 1282	Ariosa Diagnostics Inc v Sequenom Inc	Northern District of California	Federal District Court
686 F.3d 1376	Lenscom Inc v  Contacts Inc	Trademark Trial and Appeal Board	Federal Court
846 F.3d 1364	Mid Continent Nail Corporation v United States	United States Court of International Trade	Federal Court
726 F.3d 1370	Hamilton Beach Brands Inc v Sunbeam Products Inc	Eastern District of Virginia	Federal District Court
730 F.3d 1301	High Point Design LLC v Buyers Direct Inc	Southern District of New York	Federal District Court
858 F.3d 1383	Rothschild Connected Devices Innovations LLC v Guardian Protection Service	Eastern District of Texas	Federal District Court
702 F.3d 624	Brooks v Dunlop Mfg Inc	Northern District of California	Federal District Court
731 F.3d 1271	Sunovion Pharmaceuticals Inc v Teva Pharmaceuticals USA Inc	District of New Jersey	Federal District Court
866 F.3d 1330	Romag Fasteners Inc v Fossil Inc	District of Connecticut	Federal District Court
795 F.3d 1331	Circuit Check Inc v QXQ Inc	Eastern District of Wisconsin	Federal District Court
838 F.3d 1236	Husky Injection Molding Systems Ltd v Athena Automation Ltd	Patent Trial and Appeal Board	Federal Court
839 F.3d 1138	Synopsys Inc v Mentor Graphics Corporation	Northern District of California	Federal District Court
785 F.3d 567	In re Tam	Trademark Trial and Appeal Board	Federal Court
769 F.3d 1359	IRIS Corp v Japan Airlines Corp	Eastern District of New York	Federal District Court
677 F.3d 1158	Dey Pharma LP v Sunovion Pharmaceuticals Inc	District of Delaware	Federal District Court
748 F.3d 1189	Monsanto Co v EI Du Pont de Nemours and Co	Eastern District of Missouri	Federal District Court
672 F.3d 1350	Marine Polymer Technologies Inc v HemCon Inc	District of New Hampshire	Federal District Court
780 F.3d 1337	Senju Pharmaceutical Co v Lupin Ltd	District of Delaware	Federal District Court
721 F.3d 1330	Fresenius USA Inc v Baxter Intern Inc	Northern District of California	Federal District Court
729 F.3d 1369	St Jude Medical Inc v Access Closure Inc	Western District of Arkansas	Federal District Court
868 F.3d 1342	In re Stepan Company	Patent Trial and Appeal Board	Federal Court
664 F.3d 907	MarcTec LLC v Johnson And Johnson	Federal Circuit	Appellate Court
786 F.3d 879	Lelo Inc v International Trade Com'n	International Trade Commission	Federal Court
809 F.3d 599	Atlas IP LLC v Medtronic Inc	Southern District of Florida	Federal District Court
839 F.3d 1089	FairWarning IP LLC v Iatric Systems Inc	Middle District of Florida	Federal District Court
856 F.3d 1365	ArcelorMittal v AK Steel Corporation	District of Delaware	Federal District Court
780 F.3d 1364	Cadence Pharmaceuticals Inc v Exela PharmSci Inc	District of Delaware	Federal District Court
791 F.3d 1368	Medicines Co v Hospira Inc	District of Delaware	Federal District Court
717 F.3d 1351	Ateliers de la HauteGaronne v Broetje Automation USA Inc	District of Delaware	Federal District Court
664 F.3d 922	Celsis In Vitro Inc v CellzDirect Inc	Northern District of Illinois	Federal District Court
848 F.3d 994	Organik Kimya San ve Tic AS v International Trade Commission	Federal Circuit	Appellate Court
859 F.3d 1044	Credit Acceptance Corp v Westlake Services	Patent Trial and Appeal Board	Federal Court
695 F.3d 1339	In re Miracle Tuesday LLC	Trademark Trial and Appeal Board	Federal Court
856 F.3d 1353	Aylus Networks Inc v Apple Inc	Northern District of California	Federal District Court
814 F.3d 1343	Luminara Worldwide LLC v Liown Electronics Co Ltd	District of Minnesota	Federal District Court
746 F.3d 1045	Brain Life LLC v Elekta Inc	Southern District of California	Federal District Court
742 F.3d 973	Tempo Lighting Inc v Tivoli LLC	Patent Trial and Appeal Board	Federal Court
810 F.3d 1333	Nan Ya Plastics Corp Ltd v US	United States Court of International Trade	Federal Court
853 F.3d 1370	Rembrandt Wireless Technologies LP v Samsung Electronics Co Ltd	Eastern District of Texas	Federal District Court
869 F.3d 1372	Lifetime Industries Inc v TrimLok Inc	Northern District of Indiana	Federal District Court
772 F.3d 1289	Home Meridian Intern Inc v US		
865 F.3d 1372	Homeland Housewares LLC v Whirlpool Corporation	Patent Trial and Appeal Board	Federal Court
781 F.3d 1349	Exela Pharma Sciences LLC v Lee	Eastern District of Virginia	Federal District Court
695 F.3d 1322	Matthews Intern Corp v Biosafe Engineering LLC	Western District of Pennsylvania	Federal District Court
769 F.3d 1073	SSL Services LLC v Citrix Systems Inc	Eastern District of Texas	Federal District Court
744 F.3d 732	Ancora Technologies Inc v Apple Inc	Northern District of California	Federal District Court
778 F.3d 1341	Gilead Sciences Inc v Lee	Eastern District of Virginia	Federal District Court
773 F.3d 1300	Japanese Foundation for Cancer Research v Lee	Eastern District of Virginia	Federal District Court
866 F.3d 1304	Diamond Sawblades Manufacturers Coalition v United States	United States Court of International Trade	Federal Court
698 F.3d 1349	In re Baxter Intern Inc	Federal Circuit	Appellate Court
820 F.3d 1287	In re Queen's University at Kingston	Eastern District of Texas	Federal District Court
844 F.3d 1334	Kyocera Solar Inc v United States International Trade Commission	International Trade Commission	Federal Court
793 F.3d 1306	Versata Development Group Inc v SAP America Inc	Patent Trial and Appeal Board	Federal Court
849 F.3d 1360	Prism Technologies LLC v Sprint Spectrum LP	District of Nebraska	Federal District Court
824 F.3d 989	David Netzer Consulting Engineer LLC v Shell Oil Company	Southern District of Texas	Federal District Court
