case_code	case_name	court_from	court_type	result	author	judge_panel
725 F.3d 1356	Apple Inc v International Trade Com'n	International Trade Commission	Federal Court	AFFIRMED–IN–PART, REVERSED–IN–PART, AND VACATED–IN–PART	MOORE	Before MOORE, LINN, and REYNA, Circuit Judges.
878 F.3d 1041	Regeneron Pharmaceuticals Inc v Merus NV	Southern District of New York	Federal District Court	The petition for rehearing en banc is denied.		Before Prost, Chief Judge, Newman, Lourie, Dyk, Moore, O'Malley, Reyna, Wallach, Taranto, Chen, Hughes, and
857 F.3d 1323	Joseph Phelps Vineyards LLC v Fairmont Holdings LLC	Trademark Trial and Appeal Board	Federal Court	VACATED AND REMANDED		Before Newman, Dyk, and Wallach, Circuit Judges.
809 F.3d 1295	Commonwealth Scientific and Indus Research Organisation v Cisco Systems In	Eastern District of Texas	Federal District Court	VACATED AND REMANDED	PROST	Before PROST, Chief Judge, DYK and HUGHES, Circuit Judges.
709 F.3d 1124	Radio Systems Corp v Lalor	Western District of Washington	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, AND REMANDED.	MOORE	Before NEWMAN, MOORE, and REYNA, Circuit Judges.
750 F.3d 1304	GE Lighting Solutions LLC v AgiLight Inc	Northern District of Ohio	Federal District Court	AFFIRMED–IN–PART, REVERSED–IN–PART, REMANDED.	MOORE	Before RADER, Chief Judge, MOORE and REYNA, Circuit Judges.
843 F.3d 1363	United Construction Products Inc v Tile Tech Inc	Central District of California	Federal District Court	AFFIRMED	Wallach	Before Moore, Wallach, and Stoll, Circuit Judges.
812 F.3d 1070	Rosebud LMS Inc v Adobe Systems Inc	District of Delaware	Federal District Court	AFFIRMED	MOORE	Before MOORE, HUGHES, and STOLL, Circuit Judges.
699 F.3d 1317	Norgren Inc v International Trade Com'n	International Trade Commission	Federal Court	AFFIRMED	LINN	Before LOURIE, LINN, and MOORE, Circuit Judges.
816 F.3d 816	UltimatePointer LLC v Nintendo Co Ltd	Western District of Washington	Federal District Court	AFFIRMED IN PART, REVERSED IN PART	LOURIE	Before LOURIE, DYK, and WALLACH, Circuit Judges.
696 F.3d 1142	In re Abbott Diabetes Care Inc	District of Delaware	Federal District Court	VACATED–IN–PART AND REMANDED.	PROST	Before LOURIE, PROST, and WALLACH, Circuit Judges.
754 F.3d 952	Allergan Inc v Apotex Inc	Middle District of North Carolina	Federal District Court	REVERSED AND VACATED	PROST	Before PROST, *  Chief Judge, REYNA and CHEN, Circuit Judges.
808 F.3d 823	South Alabama Medical Science Foundation v Gnosis SPA	Patent Trial and Appeal Board	Federal Court	Affirmed.	HUGHES	Before NEWMAN, PLAGER, and HUGHES, Circuit Judges.
739 F.3d 694	Pacific Coast Marine Windshields Ltd v Malibu Boats LLC	Middle District of Florida	Federal District Court	REVERSED AND REMANDED	DYK	Before DYK, MAYER, and CHEN, Circuit Judges.
837 F.3d 1341	Yeda Research and Development Co Ltd v Abbott GMBH And Co KG	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Reyna	Before Reyna, Wallach, and Hughes, Circuit Judges.
792 F.3d 1363	Intellectual Ventures I LLC v Capital One Bank (USA)	Eastern District of Virginia	Federal District Court	AFFIRMED	DYK	Before DYK, REYNA, and CHEN, Circuit Judges.
776 F.3d 1351	Shenyang Yuanda Aluminum Industry Engineering Co Ltd v US	United States Court of International Trade	Federal Court	AFFIRMED	WALLACH	Before PROST, Chief Judge, PLAGER and WALLACH, Circuit Judges.
738 F.3d 1350	Allergan Inc v Athena Cosmetics Inc	Central District of California	Federal District Court	AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED.	MOORE	Before RADER, Chief Judge, MOORE, and WALLACH, Circuit Judges.
753 F.3d 1375	Triton Tech of Texas LLC v Nintendo of America Inc	Eastern District of Texas	Federal District Court	AFFIRMED.	MOORE	Before MOORE, REYNA, and HUGHES, Circuit Judges.
815 F.3d 816	In re Smith	Patent Trial and Appeal Board	Federal Court	AFFIRMED	STOLL	Before MOORE, HUGHES, and STOLL, Circuit Judges.
877 F.3d 1330	In re Brunetti	Trademark Trial and Appeal Board	Federal Court	REVERSED	Moore	Before Dyk, Moore, and Stoll, Circuit Judges.
820 F.3d 1316	Sport Dimension Inc v Coleman Co Inc	Central District of California	Federal District Court	AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED	STOLL	Before MOORE, HUGHES, and STOLL, Circuit Judges.
859 F.3d 1014	Skky Inc v MindGeek sarl	Patent Trial and Appeal Board	Federal Court	AFFIRMED	Lourie	Before Lourie, Reyna, and Wallach, Circuit Judges.
866 F.3d 1315	In re IAMSymbolic LLC	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	Lourie	Before Prost, Chief Judge, Lourie and Schall, Circuit Judges.
844 F.3d 945	D'Agostino v MasterCard International Incorporated	Patent Trial and Appeal Board	Federal Court	VACATED AND REMANDED	Taranto	Before Taranto, Linn, and Stoll, Circuit Judges.
728 F.3d 1324	Bayer CropScience AG v Dow AgroSciences LLC	District of Delaware	Federal District Court	AFFIRMED	TARANTO	Before PROST, BRYSON, and TARANTO, Circuit Judges.
669 F.3d 1349	Falana v Kent State University	Northern District of Ohio	Federal District Court	AFFIRMED	LINN	Before LINN, PROST, and REYNA, Circuit Judges.
851 F.3d 1356	TVIIM LLC v McAfee Inc	Northern District of California	Federal District Court	AFFIRMED	Reyna	Before Prost, Chief Judge, Clevenger and Reyna, Circuit Judges.
672 F.3d 1270	DigitalVending Services Intern LLC v University of Phoenix Inc	Eastern District of Virginia	Federal District Court	AFFIRMED–IN–PART, VACATED–IN–PART, AND REMANDED	RADER	
732 F.3d 1325	Broadcom Corp v Emulex Corp	Central District of California	Federal District Court	AFFIRMED	RADER	Before RADER, Chief Judge, LOURIE, and WALLACH, Circuit Judges.
873 F.3d 896	Corning v Fast Felt Corporation	Patent Trial and Appeal Board	Federal Court	REVERSED	Taranto	Before Newman, Dyk, and Taranto, Circuit Judges.
790 F.3d 1298	Kaneka Corp v Xiamen Kingdomway Group Co	Central District of California	Federal District Court	AFFIRMED IN PART, VACATED IN PART, and REMANDED		Before NEWMAN, REYNA, and HUGHES, Circuit Judges. REYNA, Circuit Judge.
812 F.3d 1056	Trivascular Inc v Samuels	Patent Trial and Appeal Board	Federal Court	AFFIRMED	O'Malley	Before MOORE, O'MALLEY, and WALLACH, Circuit Judges.
807 F.3d 1353	Prolitec Inc v Scentair Technologies Inc	Patent Trial and Appeal Board	Federal Court	AFFIRMED	PROST	Before PROST, Chief Judge, NEWMAN and TARANTO, Circuit Judges.
689 F.3d 1282	In re Antor Media Corp			AFFIRMED	LOURIE	Before RADER, Chief Judge, LOURIE and BRYSON, Circuit Judges.
675 F.3d 1368	In re Becton Dickinson and Co	Trademark Trial and Appeal Board	Federal Court	AFFIRMED	CLEVENGER	Before BRYSON, CLEVENGER, and LINN, Circuit Judges.
