	file	citaion
0	052 - Nuance Communications Inc v ABBYY USA Software House Inc	813 F.3d 1368
1	021 - Intellectual Ventures I LLC v Erie Indemnity Company	850 F.3d 1315
2	040 - Sioux Honey Ass'n v Hartford Fire Ins Co	672 F.3d 1041
3	021 - Aspex Eyewear Inc v Zenni Optical Inc	713 F.3d 1377
4	056 - Soverain Software LLC v Newegg Inc	728 F.3d 1332
5	100 - In re Geller	751 F.3d 1355
6	08 - Boeri v US	724 F.3d 1367
7	080 - Harmonic Inc v Avid Technology Inc	815 F.3d 1356
8	095 - Ethicon EndoSurgery Inc v Covidien LP	826 F.3d 1366
9	039 - OIP Technologies Inc v Amazoncom Inc	788 F.3d 1359
10	051 - Kaneka Corp v Xiamen Kingdomway Group Co	790 F.3d 1298
11	091 - Novartis AG v Noven Pharmaceuticals Inc	853 F.3d 1289
12	064 - In re Rambus Inc	753 F.3d 1253
13	073 - In re Dinsmore	757 F.3d 1343
14	041 - Memorylink Corp v Motorola Inc	676 F.3d 1051
15	075 - CEATS Inc v Continental Airlines Inc	755 F.3d 1356
16	075 - Internet Patents Corp v Active Network Inc	790 F.3d 1343
17	072 - JVC Kenwood Corp v Nero Inc	797 F.3d 1039
18	047 - Williamson v Citrix Online LLC	770 F.3d 1371
19	085 - Fairchild (Taiwan) Corporation v Power Integrations Inc	854 F.3d 1364
20	078 - Versata Development Group Inc v SAP America Inc	793 F.3d 1306
21	065 - Luminara Worldwide LLC v Liown Electronics Co Ltd	814 F.3d 1343
22	051 - Ultramercial Inc v Hulu LLC	722 F.3d 1335
23	007 - Robert Bosch LLC v Pylon Mfg Corp	719 F.3d 1305
24	040 - Bosch Automotive Service Solutions LLC v Matal	878 F.3d 1027
25	001 - Intellectual Ventures I LLC v Motorola Mobility LLC	870 F.3d 1320
26	023 - Saffran v Johnson And Johnson	712 F.3d 549
27	064 - GTNX Inc v INTTRA Inc	789 F.3d 1309
28	025 - Medgraph Inc v Medtronic Inc	843 F.3d 942
29	082 - Apple Inc v Samsung Electronics Co Ltd	816 F.3d 788
30	030 - Gilead Sciences Inc v Lee	778 F.3d 1341
31	087 - Howmedica Osteonics Corp v Zimmer Inc	822 F.3d 1312
32	058 - Xilinx Inc v Papst Licensing GmbH And Co KG	848 F.3d 1346
33	095 - ClearCorrect Operating LLC v International Trade Com'n	819 F.3d 1334
34	030 - Otsuka Pharmaceutical Co Ltd v Sandoz Inc	678 F.3d 1280
35	025 - 3M Innovative Properties Co v Tredegar Corp	725 F.3d 1315
36	040 - Aevoe Corp v AE Tech Co Ltd	727 F.3d 1375
37	007 - In re Morsa	713 F.3d 104
38	020 - Halo Electronics Inc v Pulse Electronics Inc	831 F.3d 1369
39	077 - In re Imes	778 F.3d 1250
40	014 - In re Procter And Gamble Co	749 F.3d 1376
41	027 - David Netzer Consulting Engineer LLC v Shell Oil Company	824 F.3d 989
42	054 - Aventis Pharma SA v Hospira Inc	675 F.3d 1324
43	097 - In re NuVasive Inc	841 F.3d 966
44	037 - Sanofi v Watson Laboratories Inc	875 F.3d 636
45	092 - Amgen Inc v Apotex Inc	827 F.3d 1052
46	067 - US v Nitek Electronics Inc	806 F.3d 1376
47	086 - CBT Flint Partners LLC v Return Path Inc	737 F.3d 1320
48	094 - EnOcean GmbH v Face Intern Corp	742 F.3d 955
49	058 - Lenscom Inc v 1-800 Contacts Inc	686 F.3d 1376
50	074 - Evans v Building Materials Corporation of America	858 F.3d 1377
51	042 - Broadcom Corp v Emulex Corp	732 F.3d 1325
52	026 - Flo Healthcare Solutions LLC v Kappos	697 F.3d 1367
53	022 - Advanced Fiber Technologies (AFT) Trust v J And L Fiber Services Inc	674 F.3d 1365
54	29 - Shell Oil Co v US	688 F.3d 1376
55	093 - Wyandot Nation of Kansas v United States	858 F.3d 1392
56	075 - Forrester Environmental Services Inc v Wheelabrator Technologies Inc	715 F.3d 1329
57	089 - Icon Health and Fitness Inc v Strava Inc	849 F.3d 1034
58	25 - Diamond Sawblades Manufacturers Coalition v United States	866 F.3d 1304
59	051 - Ohio Willow Wood Co v Alps South LLC	813 F.3d 1350
60	004 - Preston v Marathon Oil Co	684 F.3d 1276
61	091 - USPPS Ltd v Avery Dennison Corp	676 F.3d 1341
62	028 - Arkema Inc v Honeywell Intern Inc	706 F.3d 1351
63	093 - ClassCo Inc v Apple Inc	838 F.3d 1214
64	057 - Warsaw Orthopedic Inc v NuVasive Inc	778 F.3d 1365
65	094 - Bard Peripheral Vascular Inc v WL Gore And Associates Inc	670 F.3d 1171
66	079 - Nobelbiz Inc v Global Connect LLC	876 F.3d 1326
67	070 - AdjustaCam LLC v Newegg Inc	861 F.3d 1353
68	078 - Retractable Technologies Inc v Becton Dickinson and Co	757 F.3d 1366
69	097 - Maverick Tube Corporation v Toscelik Profil ve Sac Endustrisi AS	861 F.3d 1269
70	053 - Prometheus Laboratories Inc v Roxane Laboratories Inc	805 F.3d 1092
71	081 - MAG Aerospace Industries Inc v BE Aerospace Inc	816 F.3d 1374
72	047 - In re Abbott Diabetes Care Inc	696 F.3d 1142
73	011 - Douglas Dynamics LLC v Buyers Products Co	717 F.3d 1336
74	045 - Akamai Technologies Inc v Limelight Networks Inc	797 F.3d 1020
75	070 - Oracle America Inc v Google Inc	750 F.3d 1339
76	089 - Belimo Automation AG v US	774 F.3d 1362
77	034 - BASF Corporation v Johnson Matthey Inc	875 F.3d 1360
78	003 - Organik Kimya AS v Rohm and Haas Company	873 F.3d 887
79	052 - Roche Vitamins Inc v US	772 F.3d 728
80	020 - MarcTec LLC v Johnson And Johnson	664 F.3d 907
81	057 - Asetek Danmark AS v CMI USA Inc	842 F.3d 1350
82	040 - Taurus IP LLC v DaimlerChrysler Corp	726 F.3d 1306
83	089 - Apple Inc v Samsung Electronics Co Ltd	786 F.3d 983
84	081 - R8FL Carriers Inc v Qualcomm Inc	801 F.3d 1346
85	035 - In re Droge	695 F.3d 1334
86	084 - Pei-Herng Hor v Ching-Wu Chu	699 F.3d 1331
87	061 - NeuroRepair Inc v The Nath Law Group	781 F.3d 1340
88	018 - Stryker Corporation v Zimmer Inc	837 F.3d 1268
89	032 - In re Baxter Intern Inc	678 F.3d 1357
90	008 - Alfred E Mann Foundation for Scientific Research v Cochlear Corporation	841 F.3d 1334
91	037 - Bard Peripheral Vascular Inc v WL Gore And Associates Inc	682 F.3d 1003
92	007 - McRO Inc v Bandai Namco Games America Inc	837 F.3d 1299
93	080 - Merck And Cie v Gnosis SPA	808 F.3d 829
94	009 - Elcommercecom Inc v SAP AG	745 F.3d 490
95	032 - Ferring BV v Watson Laboratories Inc-Florida	764 F.3d 1401
96	029 - In re Cray Inc	871 F.3d 1355
97	010 - Commil USA LLC v Cisco Systems Inc	720 F.3d 1361
98	009 - Skky Inc v MindGeek sarl	859 F.3d 1014
99	001 - In re Jobdiva Inc	843 F.3d 936
100	013 - In re Affinity Labs of Texas LLC	856 F.3d 902
101	058 - Ericsson Inc v D-Link Systems Inc	773 F.3d 1201
102	041 - Mohsenzadeh v Lee	790 F.3d 1377
103	066 - Dell Inc v Acceleron LLC	818 F.3d 1293
104	057 - In re Barnes And Noble Inc	743 F.3d 1381
105	066 - AMS Associates Inc v US	737 F.3d 1338
106	006 - One-E-Way Inc v International Trade Commission	859 F.3d 1059
107	033 - Accent Packaging Inc v Leggett And Platt Inc	707 F.3d 1318
108	036 - Abbott Point of Care Inc v Epocal Inc	666 F.3d 1299
109	018 - K-TEC Inc v Vita-Mix Corp	696 F.3d 1364
110	048 - Amkor Technology Inc v International Trade Com'n	692 F.3d 1250
111	056 - StonCor Group Inc v Specialty Coatings Inc	759 F.3d 1327
112	044 - Abbvie Inc v Mathilda and Terence Kennedy Institute of Rheumatology Trust	764 F.3d 1366
113	004 - Visual Memory LLC v NVIDIA Corporation	867 F.3d 1253
114	089 - In re TLI Communications LLC Patent Litigation	823 F.3d 607
115	023 - ScriptPro LLC v Innovation Associates Inc	833 F.3d 1336
116	035 - Info-Hold Inc v Applied Media Technologies Corp	783 F.3d 1262
