,file_name,case_number,court,dates,num_x_x
0,052 - Nuance Communications Inc v ABBYY USA Software House Inc,813 F.3d 1368,"('Federal Circuit', 'Appellate Court')",2016-02-22,2014–1629
1,021 - Intellectual Ventures I LLC v Erie Indemnity Company,850 F.3d 1315,"('Federal Circuit', 'Appellate Court')",2017-03-07,2016-1128
2,040 - Sioux Honey Ass'n v Hartford Fire Ins Co,672 F.3d 1041,"('Federal Circuit', 'Appellate Court')",2012-02-07,2011–1040
3,021 - Aspex Eyewear Inc v Zenni Optical Inc,713 F.3d 1377,"('Federal Circuit', 'Appellate Court')",2013-04-19,2012–1318
4,056 - Soverain Software LLC v Newegg Inc,728 F.3d 1332,"('Federal Circuit', 'Appellate Court')",2035-02-01,2011–1009
5,100 - In re Geller,751 F.3d 1355,"('Federal Circuit', 'Appellate Court')",2014-05-13,2013–1412
6,08 - Boeri v US,724 F.3d 1367,"('Federal Circuit', 'Appellate Court')",2013-02-01,2013-5516
7,080 - Harmonic Inc v Avid Technology Inc,815 F.3d 1356,"('Federal Circuit', 'Appellate Court')",2016-03-01,2015–1072
8,095 - Ethicon EndoSurgery Inc v Covidien LP,826 F.3d 1366,"('Federal Circuit', 'Appellate Court')",2016-06-22,2014-1771
9,039 - OIP Technologies Inc v Amazoncom Inc,788 F.3d 1359,"('Federal Circuit', 'Appellate Court')",2015-06-11,2012–1696
10,051 - Kaneka Corp v Xiamen Kingdomway Group Co,790 F.3d 1298,"('Federal Circuit', 'Appellate Court')",2015-06-10,2014–1373
11,091 - Novartis AG v Noven Pharmaceuticals Inc,853 F.3d 1289,"('Federal Circuit', 'Appellate Court')",2019-11-01,2016-1678
12,064 - In re Rambus Inc,753 F.3d 1253,"('Federal Circuit', 'Appellate Court')",2014-06-04,2013–1192
13,073 - In re Dinsmore,757 F.3d 1343,"('Federal Circuit', 'Appellate Court')",2014-06-10,2013–1637
14,041 - Memorylink Corp v Motorola Inc,676 F.3d 1051,"('Federal Circuit', 'Appellate Court')",2012-04-11,2010–1533
15,075 - CEATS Inc v Continental Airlines Inc,755 F.3d 1356,"('Federal Circuit', 'Appellate Court')",2014-06-24,2013–1529
16,075 - Internet Patents Corp v Active Network Inc,790 F.3d 1343,"('Federal Circuit', 'Appellate Court')",2015-06-23,2014–1048
17,072 - JVC Kenwood Corp v Nero Inc,797 F.3d 1039,"('Federal Circuit', 'Appellate Court')",2015-08-17,2014–1011
18,047 - Williamson v Citrix Online LLC,770 F.3d 1371,"('Federal Circuit', 'Appellate Court')",2014-11-05,2013–1130
19,085 - Fairchild (Taiwan) Corporation v Power Integrations Inc,854 F.3d 1364,"('Federal Circuit', 'Appellate Court')",2017-04-21,2017-1002
20,078 - Versata Development Group Inc v SAP America Inc,793 F.3d 1306,"('Federal Circuit', 'Appellate Court')",2015-07-09,2014–1194
