	file_name	citations	regulations	courts
0	052 - Nuance Communications Inc v ABBYY USA Software House Inc	['813 F.3d 1368', '805 F.3d 1368', '467 F.3d 1355', '299 F.3d 1313', '639 F.3d 1303']	['28 USC § 1295']	[('Federal Circuit', 'Appellate Court'), ('Northern District of California', 'Federal District Court'), ('Northern District of California', 'Bankruptcy Court')]
1	021 - Intellectual Ventures I LLC v Erie Indemnity Company	['850 F.3d 1315', '444 F.3d 1337', '718 P.2d 920', '583 F.3d 832', '776 F.3d 1343', '502 F.3d 263', '788 F.3d 1359', '566 U.S. 66', '838 F.3d 1253', '830 F.3d 1350', '823 F.3d 607', '827 F.3d 1341', '822 F.3d 1327', '772 F.3d 709', '625 F.3d 1359', '517 F.3d 1284', '211 F.3d 1245', '850 F.3d 1332', '2017 WL 900031']	['35 USC § 101', '28 USC § 1295', '35 USC § 261']	[('Federal Circuit', 'Appellate Court'), ('Western District of Pennsylvania', 'Federal District Court'), ('Western District of Pennsylvania', 'Bankruptcy Court'), ('Third Circuit', 'Appellate Court')]
2	040 - Sioux Honey Ass'n v Hartford Fire Ins Co	['672 F.3d 1041', '200 F.3d 1369', '517 F.3d 1319', '453 F.3d 1355', '486 U.S. 800', '994 F.2d 832', '880 F.2d 401', '464 U.S. 16', '556 U.S. 303', '542 U.S. 88', '201 F.3d 1352', '490 U.S. 545', '417 F.3d 1366', '331 F.3d 891', '258 F.3d 1349', '342 F.3d 1313', '226 U.S. 220', '124 F.3d 1269', '255 F.3d 1347', '542 U.S. 55', '556 U.S. 662', '561 U.S. 247']	['19 USC § 1675c', '19 USC § 1675', '28 USC § 1295', '28 USC § 1585', '28 USC § 1367', '28 USC § 1583', '28 USC § 451', '19 CFR § 113', '19 USC § 1623', '5 USC § 501', '19 USC § 1671', '114 Stat. 1549', '120 Stat. 4', '94 Stat. 1727']	[('Federal Circuit', 'Appellate Court'), ('United States Court of International Trade', 'Federal Court'), ('International Trade Commission', 'Federal Court')]
3	021 - Aspex Eyewear Inc v Zenni Optical Inc	['713 F.3d 1377', '439 U.S. 322', '342 F.3d 1320', '672 F.3d 1335', '223 F.3d 1324', '617 F.3d 1296', '580 F.3d 1281', '553 U.S. 880', '30 F.3d 1459', '525 F.2d 1367', '470 U.S. 373', '2012 WL 6634227', '836 F.2d 1320']	[]	[('Federal Circuit', 'Appellate Court'), ('Southern District of Florida', 'Federal District Court'), ('Southern District of Florida', 'Bankruptcy Court'), ('Eleventh Circuit', 'Appellate Court')]
4	056 - Soverain Software LLC v Newegg Inc	['728 F.3d 1332', '705 F.3d 1333', '2013 WL 2631445', '477 U.S. 242', '725 F.2d 1338', '550 U.S. 398']	[]	[('Federal Circuit', 'Appellate Court'), ('Eastern District of Texas', 'Federal District Court'), ('Eastern District of Texas', 'Bankruptcy Court')]
5	100 - In re Geller	['751 F.3d 1355', '33 F.3d 1367', '702 F.3d 633']	['15 USC § 1052', '28 USC § 1295', '18 USC § 2331', '116 Stat. 721']	[('Federal Circuit', 'Appellate Court'), ('Trademark Trial and Appeal Board', 'Federal Court')]
6	08 - Boeri v US	['724 F.3d 1367', '2012 WL 643901', '519 U.S. 347', '558 F.3d 1331', '231 F.3d 1349', '287 U.S. 435', '240 U.S. 1', '301 U.S. 548']	['26 CFR § 1', '26 USC § 6511']	[('Federal Circuit', 'Appellate Court'), ('United States Court of Federal Claims', 'Federal Court')]
7	080 - Harmonic Inc v Avid Technology Inc	['815 F.3d 1356', '678 F.3d 1357', '383 U.S. 1', '2013 WL 8595955', '759 F.3d 1333', '818 F.2d 841', '803 F.3d 652', '749 F.3d 1373', '793 F.3d 1306', '814 F.3d 1309', '2016 WL 520236', '467 U.S. 837', '2014 WL 3422011']	['37 CFR § 42', '35 USC § 102', '35 USC § 103', '28 USC § 1295', '35 USC § 141', '35 USC § 312', '35 USC § 314', '35 USC § 315', '35 USC § 318', '35 USC § 316', '125 Stat. 284']	[('Federal Circuit', 'Appellate Court'), ('Patent Trial and Appeal Board', 'Federal Court')]
8	095 - Ethicon EndoSurgery Inc v Covidien LP	['826 F.3d 1366', '425 U.S. 185', '104 U.S. 356', '18 F.3d 921']	['35 USC § 314', '35 USC § 6', '37 CFR § 42']	[('Federal Circuit', 'Appellate Court'), ('Patent Trial and Appeal Board', 'Federal Court')]
9	039 - OIP Technologies Inc v Amazoncom Inc	['788 F.3d 1359', '714 F.3d 1277', '728 F.3d 1336', '561 U.S. 593', '772 F.3d 709', '776 F.3d 1343', '687 F.3d 1266', '773 F.3d 1245', '450 U.S. 175', '550 U.S. 544', '765 F.3d 1350']	['35 USC § 101', '28 USC § 1295']	[('Federal Circuit', 'Appellate Court'), ('Northern District of California', 'Federal District Court'), ('Northern District of California', 'Bankruptcy Court'), ('Ninth Circuit', 'Appellate Court')]
